,manufacturer,model,version,power(kW),fuel_date,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
1,Volkswagen,Golf,e-Golf,85,06.02.2019,50,12.29,Electricity,Winter tires,0,0,1,Normal,15.5,0,1,47.0,-1.3
2,Volkswagen,Golf,e-Golf,85,05.02.2019,43,8.68,Electricity,Winter tires,0,1,1,Normal,18.0,0,1,58.0,1.2
3,Volkswagen,Golf,e-Golf,85,04.02.2019,44,1.5,Electricity,Winter tires,0,1,1,Normal,16.1,0,1,43.0,-0.7
4,Volkswagen,Golf,e-Golf,85,04.02.2019,76,14.44,Electricity,Winter tires,0,1,0,Normal,19.0,0,1,76.0,2.2
5,Volkswagen,Golf,e-Golf,85,03.02.2019,15,6.84,Electricity,Winter tires,1,0,0,Normal,16.1,0,1,23.0,-0.7
6,Volkswagen,Golf,e-Golf,85,01.02.2019,63,7.1,Electricity,Winter tires,0,1,0,Fast,18.3,0,1,80.0,1.5
7,Volkswagen,Golf,e-Golf,85,31.01.2019,85,15.3,Electricity,Winter tires,0,1,1,Fast,18.0,0,1,47.0,1.2
8,Volkswagen,Golf,e-Golf,85,31.01.2019,71,13.77,Electricity,Winter tires,0,0,1,Fast,19.4,0,1,45.0,2.6
9,Volkswagen,Golf,e-Golf,85,25.01.2019,76,14.26,Electricity,Winter tires,0,0,1,Normal,15.8,0,1,78.0,-1.0
10,Volkswagen,Golf,e-Golf,85,24.01.2019,80,13.08,Electricity,Winter tires,0,0,1,Moderate,14.0,0,0,52.0,-2.8
11,Volkswagen,Golf,e-Golf,85,24.01.2019,59,4.61,Electricity,Winter tires,0,0,1,Moderate,14.6,0,0,66.0,-2.2
12,Volkswagen,Golf,e-Golf,85,23.01.2019,53,15.21,Electricity,Winter tires,0,0,1,Normal,17.2,0,1,52.0,0.4
13,Volkswagen,Golf,e-Golf,85,23.01.2019,47,2.7,Electricity,Winter tires,0,0,1,Normal,18.7,0,1,40.0,1.9
14,Volkswagen,Golf,e-Golf,85,18.01.2019,72,14.81,Electricity,Winter tires,0,0,1,Normal,20.0,0,1,67.0,3.2
15,Volkswagen,Golf,e-Golf,85,17.01.2019,75,12.04,Electricity,Winter tires,0,0,1,Normal,16.6,0,1,58.0,-0.2
16,Volkswagen,Golf,e-Golf,85,16.01.2019,57,12.87,Electricity,Winter tires,0,0,1,Normal,16.3,0,1,54.0,-0.5
17,Volkswagen,Golf,e-Golf,85,14.01.2019,90,12.35,Electricity,Winter tires,0,0,1,Normal,17.7,0,1,54.0,0.9
18,Volkswagen,Golf,e-Golf,85,13.01.2019,54,15.05,Electricity,Winter tires,0,0,1,Normal,15.3,0,1,37.0,-1.5
19,Volkswagen,Golf,e-Golf,85,10.01.2019,38,8.6,Electricity,Winter tires,0,0,1,Normal,15.7,0,1,51.0,-1.1
20,Volkswagen,Golf,e-Golf,85,10.01.2019,60,5.04,Electricity,Winter tires,0,0,1,Normal,15.6,0,1,58.0,-1.2
